z,M,lon,lat
1.29460129,1.01052131,0.61824721,0.42254698
1.90190517,1.03709618,4.26509001,0.90283190
1.75164580,1.00508337,1.44826475,2.72907167
1.08231391,1.04767806,0.50683206,1.82112595
1.43047712,1.48634813,1.76940133,2.99771095
0.85860165,1.16716353,4.47753902,1.49353208
1.35732442,1.33417943,5.69201538,1.79364515
0.30164006,1.17923566,6.09329076,0.35609084
0.39017702,1.01106576,1.64173898,0.26350629
0.79608790,1.75276655,1.39755386,2.07180170
0.41516508,1.59114230,3.87063081,1.87097025
0.61543944,2.60810867,0.33592911,2.06837393
0.46969675,1.58800792,3.42321055,1.78186940
1.32534964,2.04420759,2.21523381,0.44335479
0.98187976,2.09391751,4.68593872,2.88106909
0.70199561,2.09193717,4.41793823,1.23267003
1.09108056,1.22239297,6.07268888,0.50089219
0.85789994,2.75122373,0.54631585,2.58440746
0.35557214,2.91244793,0.70257658,0.55477660
0.54675996,1.13949082,1.67261643,2.00876652
0.50050646,1.24788080,3.74931211,1.30180332
2.27637472,1.19391808,3.04836158,1.56404296
0.51377154,2.51191623,1.39350059,2.43521875
0.35725072,1.11836601,0.10899521,1.23309406
0.15930295,1.17484731,0.31669813,2.64977742
0.78051434,1.01083374,1.54372287,0.48915271
0.60638195,1.47437915,3.41442761,1.03311344
0.88911917,1.36873483,4.06391751,2.31618792
0.47795127,1.10276332,0.46955334,1.13778055
0.98490020,1.22546944,0.25276123,1.44191429
0.77409531,1.28703815,1.57338211,1.37698397
0.21426954,1.35863818,3.17752603,1.60279801
0.97294333,1.67533663,1.27650112,1.08829605
0.46588145,1.22091632,3.91979819,1.31356453
0.25754509,1.15885957,0.23358398,1.45302354
0.68407218,1.41375924,5.16426861,1.38744806
0.42618175,4.00526745,1.19525793,1.30887591
0.44353908,3.46491239,6.22595616,2.02324673
1.60777390,1.80266871,2.25166035,0.49559165
0.73406885,1.24292152,2.88121849,2.12226308
0.14932268,2.11670812,3.64412376,1.98364695
0.46831162,1.22996142,1.38786470,1.48384277
0.96188888,1.19088716,2.01739736,0.82413598
0.60704904,1.21855281,0.63822065,0.52686629
0.45139128,1.63961424,2.32131017,2.36367817
0.88047885,1.79467236,0.70867700,1.98499294
0.83813332,1.82019644,6.12009022,2.92898082
0.43502322,1.58149620,4.81047979,1.28377478
0.67643836,1.10313246,0.15228796,1.97298055
1.24802061,1.57359988,2.02847902,1.76775594
0.33370723,1.01147364,3.56639094,2.03393253
0.36437128,4.60208702,0.23001171,1.37553048
0.92938542,1.77281723,6.26571541,2.16678648
0.72601806,1.02049780,0.23250342,0.64722235
1.41480820,1.73970708,5.27149091,1.68718236
0.30037113,1.33050173,1.12388259,0.39575497
0.68039372,1.06616686,5.39317070,2.16411341
0.36158324,1.32030449,0.29903266,1.32698146
0.32126783,1.40168970,2.53829927,1.60887536
0.84670003,1.14893619,3.29778414,0.66427277
0.94190954,1.11114139,4.21025648,1.44082547
0.47201182,2.20281355,5.11764665,0.65427164
0.78584126,1.07117198,6.14121935,1.52900523
1.02837648,1.51919828,2.97563469,1.63037270
1.44628908,1.11157107,4.30739060,1.39351587
0.53068167,1.35800768,2.86199269,2.54721703
0.63121933,1.34583206,2.91079592,1.00773462
0.99963436,1.21124821,5.95072074,1.10107461
1.05870688,1.80397780,4.94767343,0.96290815
0.07597659,1.17583133,0.72925851,1.01364159
0.90907928,1.07028842,3.74454132,2.14130990
0.51684231,7.96413251,3.49194748,1.72599702
0.93973948,1.89248947,4.21715355,1.57542298
0.55797056,1.01053689,2.28356692,2.54164680
0.15969235,1.66989231,3.42937641,1.27868626
0.50765190,2.58339524,3.96643408,1.96279600
0.80212969,1.50435462,5.26084094,0.31579585
1.29690206,1.20328252,2.37412102,0.84235869
0.83995681,1.23659456,2.53244987,0.64806142
1.06496690,2.12055770,1.11583382,0.43493941
0.69302862,1.45475180,0.57147701,2.76947329
0.29058733,1.54060071,4.23478488,1.65040017
0.86555232,1.57936518,4.64307563,2.24457681
0.83400568,2.30664302,5.58492069,0.48100055
0.29450260,1.99786230,1.14800796,2.44681079
0.50538680,1.44073065,3.60741661,2.09872839
0.89381740,1.25136245,3.69582635,1.89934770
0.36651029,3.83454529,5.11410066,0.53608067
0.57934940,1.44420061,5.44379678,1.23780624
0.44960519,1.31108589,2.21323662,0.47027775
0.63537648,1.10692976,4.98690535,2.66023669
0.80686564,1.29029451,1.76421272,1.94621302
0.23915724,1.25217578,4.82296750,1.00459705
0.58993853,1.04387265,1.85115575,1.09376664
0.16853431,1.17429390,4.39310684,1.03616940
0.58787352,1.32606138,3.17238256,0.75276854
0.88516854,1.97293814,0.16293387,2.31604139
1.48942235,1.16192526,3.75005428,2.48367117
1.27676482,1.54058440,1.77545882,0.96579085
0.85091837,1.49279856,6.04177971,2.42003771
0.23370693,2.39327586,5.32547522,2.43747215
0.55865548,1.07456730,4.04377334,2.08679159
0.63055733,2.29926515,2.32919302,1.64636736
0.52953043,2.12946016,1.96144451,2.18787871
0.81939107,1.14707499,0.48576975,1.19687659
0.56751663,1.10801789,2.43577292,1.59985083
1.00375480,1.05911594,2.00301854,0.92365906
1.05620021,1.12297543,3.10256898,2.05875539
0.81376523,1.12098675,2.20771384,0.81653863
0.97750049,2.15257015,0.04747323,1.10389620
0.37620003,4.61079968,0.04821670,2.41722201
0.91265847,1.76473642,3.09589677,0.27080396
1.03224671,2.13619156,0.54858351,1.37020589
0.64049450,2.15071410,0.70094847,1.01353031
0.27470726,1.88457312,5.39844678,1.64163109
0.44856989,1.76320283,2.04461986,2.26344929
0.49814786,1.10481877,3.72353377,0.52716453
0.80415030,1.04567054,1.95143247,2.47351866
0.23935542,1.44033826,0.88765522,1.56415149
0.26293124,1.18686106,2.85244500,0.79885027
0.55176720,1.85488582,3.04490659,1.39807224
0.40069178,1.41022559,3.37769262,2.83274331
0.59223462,1.28769240,4.69530510,1.83672313
0.61990123,1.25531805,4.21814863,1.67208428
0.28215209,1.05045004,4.76409240,2.74366949
0.58728734,1.36028803,4.48130400,1.75565043
0.81932000,1.34748294,5.27175261,2.36173806
0.64190530,1.02002362,4.20802107,1.25749783
0.53393580,2.23430835,3.72993434,1.05991078
0.82835424,2.33460861,0.20705271,2.39493561
0.94193340,2.31622546,2.78290291,2.10209472
0.54837388,2.21030421,1.95569919,2.24025035
1.18120558,1.16553305,2.57658028,2.95263167
0.55919529,1.91955336,5.71550719,1.27100570
0.76719335,1.15400274,5.20087607,2.78172173
0.90168021,1.75423858,2.68710793,1.71217472
0.59944215,1.22856933,2.73369135,1.89600794
0.43594343,1.59055054,5.60335690,0.67522296
0.97837189,1.65352684,4.64678908,1.91223721
0.23788979,1.85383273,2.11412832,2.74330414
0.75305537,1.00391125,2.26749565,0.23059289
0.83167939,1.36976824,4.53721791,0.51803788
0.81030023,1.20079060,5.67996194,2.54366492
0.84708419,1.53198250,4.38890921,2.91430919
1.38063585,1.51621605,3.90560297,1.76949361
0.25541630,1.24763123,5.25904082,0.46496813
0.69865771,1.27889288,2.61157825,2.10251330
0.48113703,1.00896002,2.84360915,2.38033851
0.52234750,1.00883726,0.20882208,0.87240563
0.28385056,1.08665691,2.88430959,0.56400512
1.02130126,1.07165940,6.20180543,1.96611705
1.25968149,2.10032194,0.03022324,1.32957741
0.98492280,1.21145769,4.15942536,1.05697240
1.38221142,1.09870206,1.49852312,0.92178998
0.78698081,1.38267111,4.29485344,0.22194989
0.61733668,1.03759975,5.17178518,1.74214904
0.40293865,1.25756365,4.46300702,2.12064181
1.21678199,1.10913107,3.35699111,1.00067859
0.41730297,1.13600650,1.71051349,2.45149439
1.35419803,1.68740725,0.21732188,0.40772617
0.72546952,1.02896257,0.30205497,1.36239080
0.38973083,1.92182906,5.86061930,1.57677206
0.35839853,1.19931069,0.52010330,2.61324363
1.17502504,1.53949900,1.27724081,0.80695855
0.74957295,1.72915202,3.86638659,1.87480599
0.90075334,1.21536539,5.22042497,0.91216123
0.81418631,1.19205351,3.29696932,1.90847756
0.43619790,1.33280832,0.86580497,1.31854024
1.15327132,1.24522079,5.89460672,1.73447260
0.75684439,1.67108223,5.34821148,1.30993070
0.91794361,2.16324798,3.84547613,1.59244603
0.17129628,1.71912646,3.78897319,1.69392943
0.76733914,1.24427990,1.58273199,0.41614099
0.75841212,1.08867993,1.48808884,0.85506236
1.25399247,1.11947872,5.40666134,1.99845555
0.45874768,1.01152024,5.78636334,1.53016392
0.90343238,1.36539849,5.87375556,1.09189317
0.57382121,1.36729393,1.00703083,1.62569359
0.59220015,1.63008747,1.57329322,0.89933040
0.30771637,1.58381891,4.93999866,2.27739336
0.37248797,1.11015844,0.85905812,0.63956907
0.76938864,3.10418080,0.28495807,1.53415992
0.60659086,4.16981076,1.76353395,0.51520795
0.86270289,1.21884164,5.54700776,1.14537139
0.03640322,1.02737559,1.00796651,2.11560979
0.51794606,2.16377221,2.72793163,2.29162900
0.47319964,2.24331894,0.11570398,1.09547368
0.49635123,1.04621956,5.92464746,0.73944782
0.88027205,1.91982877,1.67751446,1.70334734
0.66984243,1.05315106,2.05083313,2.56982096
0.97611014,1.10344613,5.45831786,1.19208769
1.18345596,1.40104541,2.85436252,0.09190000
0.96533046,1.74431277,0.10943637,1.06842199
0.54126920,1.24963963,0.81385618,2.07286916
0.74334235,1.56137018,1.89632158,1.50479731
0.51978564,1.02140242,2.49168751,1.65107170
0.40648450,2.29370184,5.67363950,2.22061496
0.90808456,1.18854891,6.11554314,0.56285472
0.24598452,1.21679462,2.88447604,1.27948979
0.17300879,1.09113549,6.02609664,1.29979542
0.72748083,1.72774785,2.17813584,1.18347624
0.57452858,1.75417989,5.32224955,2.15434181
0.59544715,1.12148241,1.18066325,2.00610003
1.20121008,1.32291633,5.87078632,2.64749985
0.38302802,1.44746378,3.33297716,1.25790761
0.24177520,1.97388622,2.55486732,2.33678987
0.48855413,1.83876936,0.14570745,0.12275446
0.97094730,4.81347333,2.32657772,0.80051010
0.36633726,2.78578392,0.98734092,1.52015030
0.67934169,1.82496968,0.80241633,1.94699179
0.37804720,2.21618021,4.65950255,1.28404209
0.59737398,1.24080091,2.85456562,3.04630313
0.84222990,1.26100203,3.19262646,1.51962605
1.04698519,1.27832388,4.39565366,1.29166316
0.75556518,1.10691378,3.97884790,0.15001361
0.50222254,1.02580543,3.29030689,2.37731853
0.95573255,1.14894203,0.36500099,1.98955956
0.78216667,3.50747497,1.89499237,2.25565454
0.85195345,1.12920915,2.25235774,1.84025592
0.78546024,1.28863188,5.09243104,1.79248076
0.14417883,1.72257118,4.18819462,1.96229368
0.67958382,1.16705938,3.72237226,0.81430175
0.98824896,1.89216203,3.92684667,1.77728466
1.07067726,1.29350290,0.94337945,0.60067203
0.67535750,1.98791180,3.37870859,1.68169849
0.49098116,2.22674944,1.39657189,2.20597496
0.55429528,3.07667796,0.15633324,1.21205801
0.94412879,1.68521220,1.65124373,0.41712739
0.37117676,1.51374971,4.94140644,3.00851194
1.13697606,1.47588168,5.91779361,1.52631904
1.70514163,1.41899517,2.99545167,2.90349906
0.24565515,1.24073049,4.76279576,1.23811238
0.77346394,1.68786658,4.56224519,0.89437412
0.42092717,1.48356381,6.06878056,2.31700432
0.84024659,1.15876071,0.56078501,2.27275023
0.17290600,1.11074988,5.69864087,2.35991302
0.52763516,1.45440251,5.95445555,0.54288572
0.73264136,1.01090412,2.23353966,2.92170628
0.56765459,1.04143844,3.82792866,2.16306216
0.45977417,1.42573370,1.85088653,2.04558788
0.64767050,1.26339256,2.22219705,2.15613031
0.66509557,1.22092106,2.82623192,1.08724839
0.70800755,1.62794202,2.75769945,1.03703572
0.67169286,2.61071652,5.78651241,2.73680017
0.83818472,1.43963103,2.95401721,1.31514786
1.37783205,1.21691698,0.83587442,2.16002899
0.81329989,1.08290652,0.69921537,1.25413621
0.50377014,1.18115948,2.24320937,2.62079631
0.94858292,1.60702759,3.65442022,1.63243837
0.41787710,2.64679338,1.95109417,2.37057815
0.26678939,1.07764480,1.41955838,1.05273394
0.48415946,1.15688650,1.40193047,1.56733421
0.18317724,1.59600840,1.36315633,2.24240312
0.59559736,1.11311157,1.61722402,0.69943615
1.25156048,1.23260926,1.78467236,2.58738095
0.70866256,1.44780433,1.29313908,1.29371334
0.50256923,5.55298946,6.08245651,0.27213197
0.68148527,1.05751888,5.79570087,2.91628065
0.79698033,1.20031804,4.45025051,1.86699920
0.55921194,1.13776319,6.12200937,2.53457356
1.11787145,1.04501392,4.45196007,0.94807913
0.66990764,1.43400520,1.45395146,0.81563802
1.65943913,1.00789374,1.74629519,1.73003604
0.60268590,1.12810923,2.88440198,0.32965554
0.34886893,2.16985259,3.55442703,1.42613136
0.28001646,3.33616097,2.89344034,2.51447914
1.18923500,1.69468629,5.74553343,0.74588100
0.15355104,1.17859197,5.54448674,1.31643059
1.01695942,1.03927953,1.78822398,1.89671229
0.23171742,1.38478401,0.11730338,1.12188332
1.19130389,1.81541955,3.70785231,0.67498804
0.92265914,1.03580924,2.33994150,1.99010377
1.12898726,1.87283213,1.29504359,2.57373599
0.54904904,1.55492930,1.83041676,1.49988864
0.35264994,1.00015997,3.48909228,1.55927640
0.12463553,1.14570089,3.07514524,2.08889097
0.54102016,2.09526574,1.70836843,0.29775584
0.96471481,1.24762965,5.88306999,2.49713969
0.31713376,2.27181832,1.13536145,1.67717812
0.42827167,1.08403863,3.20942242,1.96339106
0.56598606,2.05455559,5.70833713,1.28349572
0.79739432,1.90019750,5.63921142,0.95161322
0.81356138,1.20232112,6.23369563,0.26342744
0.40693890,1.19474060,1.02630962,0.88181799
0.58283288,2.71594921,5.46708964,1.14135175
1.01822120,1.12906557,2.72772116,1.85935252
0.53910439,1.62098744,1.08219013,0.19221597
0.83215808,1.76754095,5.26970946,2.70419354
0.52182171,1.71388706,2.77649741,1.68171024
0.11083840,1.20030408,2.78803933,1.29495835
0.80607952,1.39377877,0.77431102,2.24139588
1.60612546,1.09212871,0.99054142,0.66643422
0.69182085,1.83263086,5.08136744,0.37655242
0.56966680,1.23815551,5.42420559,2.08199348
2.11282128,1.10495286,4.80624582,1.40068162
0.46661763,1.20224384,0.04008615,1.51786699
0.46524940,2.18161682,3.34082345,0.67558379
0.52748710,1.10350657,5.22630592,0.96948368
0.79523593,1.07514216,5.99641628,1.66124784
0.24495256,10.49927109,3.52393298,1.17358355
0.26808241,1.99436359,5.91229212,1.95173393
0.92082927,2.93361729,5.72829430,1.42502792
0.48456156,1.15051735,0.04415669,1.13815153
0.26768411,7.80412622,4.86980854,1.21516801
0.26196820,1.18806204,1.20852611,2.43402223
0.71067104,1.25506955,0.48938400,2.50323147
0.81318750,1.47384631,5.19361567,2.55305792
0.99032740,1.98069943,0.07252638,1.06534811
0.35595850,1.67828960,0.62723782,0.87286090
0.65479238,1.09908572,5.69276853,2.20434202
0.48292496,1.22552997,1.49568616,2.84030532
0.80699518,1.31403211,3.26922861,1.88725202
0.32252150,1.00797472,1.27810060,1.68443976
0.31307456,2.53385893,5.17195795,2.01717513
0.92385387,1.95257569,3.32914229,2.50853659
0.41782404,1.66204894,1.08365428,1.46447062
1.03164614,1.17118157,1.87987585,2.01354269
0.26619056,2.97931117,6.04555467,0.75352301
0.29163915,1.01069682,5.70662592,0.35401231
1.13695939,1.16361034,4.51703244,1.23468115
0.47185572,1.58457581,5.69784107,1.17154683
0.39496258,1.08070088,3.34072601,2.24733421
0.55564407,1.08691406,6.20708488,1.90054907
0.73597572,1.28209797,1.77156937,1.21359329
0.33135439,1.29236069,4.24179511,1.98510173
0.73351419,1.65206922,4.53917798,1.46562846
0.46657714,1.11646470,4.57940290,1.07966009
1.16472412,3.45198302,3.98121274,2.43426455
0.62928468,1.00745562,4.09289612,1.77423124
0.63585091,1.32559819,5.33576890,1.42812482
0.26260876,1.69754644,2.49929484,2.41743283
0.37425589,1.05437550,0.77921755,1.70977960
0.77507702,1.19881527,5.61281828,1.53313970
0.83121600,1.20548901,5.53163733,0.27776123
1.02085047,2.03279665,4.86363910,1.83755538
1.14872402,5.22319346,3.41514108,1.85158207
1.26723360,1.26765108,1.46284032,1.85394219
0.47301233,1.84265220,4.34395277,0.94738288
0.40733346,1.34339946,0.52792291,1.17216304
0.69944275,1.31543176,2.95296164,1.66971676
0.86332527,2.43887897,4.70865140,0.99071812
1.18579262,1.62459770,5.67823125,1.63222449
0.45125245,1.38768795,1.47065215,1.34802320
0.50473572,1.04200212,4.38168068,0.68491833
0.24481075,3.30357606,5.20269124,1.60568078
0.26923002,1.02614172,1.63981160,0.60598959
0.53532883,2.88634841,1.56016881,2.92285326
0.37673231,1.32189979,6.09864136,0.57587474
1.17977948,1.21960057,2.23334516,1.48264868
0.28494251,1.60685648,3.68019304,1.46855464
0.37489426,2.09809066,3.46237580,0.08175210
0.66955613,1.04403604,1.90897498,1.83507741
0.53776029,2.67812462,5.96436044,2.92363615
1.26040746,1.39859446,6.06192794,2.70390177
0.15379162,1.06837902,5.54778559,0.27581669
0.68682543,1.32089496,2.45104369,1.29015972
0.47062076,2.18589737,3.37418902,2.60466403
0.80551604,3.37193494,4.05042018,2.09362329
1.12470399,1.14772460,0.64294643,0.80784877
0.34018748,1.94828775,5.67846175,2.17798787
0.62273386,2.64405967,0.54985708,0.13460262
0.44273410,2.24092728,2.05489505,0.82054600
0.91206850,1.04447217,2.08315480,1.22588352
0.52162765,1.62633295,1.30808970,1.94638987
0.32704410,1.06235042,5.33034544,2.37877642
1.04507666,1.07278108,3.67720173,1.20846330
0.99357903,1.30362775,2.18841800,1.98415888
0.25681661,1.09006859,5.11472896,1.02640518
0.57855785,1.36581386,5.46985039,1.04592714
0.35797102,1.92611634,1.65842605,0.22648540
1.07213375,1.40652646,6.24027745,1.93707491
0.36665069,1.94511628,4.77067429,1.13064705
0.53964620,3.92232561,4.60019566,1.23549016
0.66743135,1.08318789,5.10519074,1.20014032
0.72381312,1.76773123,2.88626044,1.80309470
0.27882268,1.00375531,3.28607230,1.58539726
1.02755411,1.23515314,5.16787208,1.44490047
0.44745614,1.94019874,3.29362873,2.26920188
0.76137359,1.02592279,4.68394626,1.03915839
0.13299333,1.11725324,0.59392674,1.94295684
0.40823921,1.00529497,4.06768348,2.44017139
0.52437637,1.94633267,0.36992836,2.37221699
0.85229305,1.01671581,1.59183808,0.95470023
0.40676895,2.16294252,4.22509876,1.13586110
0.65891992,1.07838759,4.35844212,1.56374301
0.48750964,2.38001211,0.96450182,1.64662709
0.21483665,2.67111761,0.74546596,0.29864542
0.36328506,1.07687351,5.38778046,2.54598340
0.82415362,1.47089011,3.32493100,0.84840098
0.63208710,1.17493025,0.20752051,1.66933882
0.79019926,1.24711678,0.38162990,1.53028178
0.83794610,1.02744104,2.49665698,2.28086274
0.72275658,1.12456929,3.44990383,0.67066277
0.93426702,2.07451070,5.19707559,1.01540129
0.29436821,2.99875120,6.22011448,2.86780973
0.78379627,4.75764365,2.57825385,2.06707638
0.42335775,1.42020999,5.58475902,0.72010689
0.40532198,1.52376380,2.33415008,0.24372776
1.08043508,1.17665906,1.58813037,2.00163698
1.00882077,1.04412001,2.62793687,1.14866713
0.23165241,1.01714127,6.00732282,2.92266304
0.66104564,1.37280177,0.10627531,1.64478812
1.97546811,1.03131059,2.51404028,0.99819185
0.66980392,1.17486618,5.13054712,1.11702748
0.35396683,1.25894235,5.74856647,1.64939595
0.45081544,1.42587066,5.82166610,0.61597604
0.63016912,1.17239593,1.66440697,1.44289718
0.83580790,3.69323798,5.15608226,1.98870257
0.29148867,1.73829953,3.28159640,1.44323145
0.71003335,1.42053191,3.20604271,1.40963134
0.69936993,1.22357723,0.79746012,1.37467309
0.49103181,1.28847108,5.66327758,1.91332706
1.02517624,1.02117588,6.06925014,0.85513585
0.46444954,2.47282723,1.66711462,2.00309958
1.01521129,1.23481905,3.99676205,1.24563875
0.75793771,3.17102835,4.17947578,2.09828071
0.47118054,1.33648859,3.72010913,1.41795267
0.38023343,1.13843689,4.36147738,2.02661140
0.65795080,1.32573320,2.90352049,0.64113631
0.37771044,1.00931792,1.85504827,1.58110454
0.28569380,1.91672055,2.04695836,2.43487527
0.50654707,1.02189829,5.62165358,2.23902510
0.32165038,1.32520559,0.55573657,1.66656361
1.19519016,1.26478818,4.12183467,1.60337558
0.68420703,1.00104189,4.95972846,1.79013831
0.66705129,1.10074656,0.41070151,1.36857470
1.25400759,1.03230759,1.35206911,1.94261922
0.34906247,1.16777117,4.03637128,2.16889742
0.36770936,1.62159411,2.15109405,0.88112091
1.24735413,1.13165041,2.19130039,0.57861404
0.72496137,1.36292647,1.61583197,1.42556766
0.86555934,1.43410862,2.23139807,1.33647438
1.28619476,1.07624578,4.20879591,2.54738900
0.51543792,2.02999541,4.84759677,2.09588561
1.15808307,1.50655554,3.48794227,1.83773549
0.98198517,1.44698567,5.16735967,2.04019421
0.48760995,1.61873338,2.01353056,0.78611433
0.48027174,1.20824225,3.16506436,0.49579229
0.73760184,2.01935807,4.25560360,0.60934657
0.57402442,1.22530584,3.71382035,0.63435702
1.04487513,1.39109855,3.42758048,2.15449501
0.23451052,1.31651026,2.77160379,0.44793898
